"A&S Fin Associates 
"," 128 bazaar street Ulsoor near M.G.Road
Bangalore.",560008, Financial Services
"trading india 
", saket nagar kanpur,208001, Financial Services
"aintree tech solutions pvt ltd 
", hsr layout 26th main 9th cross bangalore,5600760, IT- Hardware
"klassikfoods 
"," No. 61, 1st stage, Gruhalakshmi layout
basaveshwarnagar
Bangalore 560 079",560079, Hotels / Resorts
"Kanva Group Of Companies 
"," Kanva Mart#361, 19th main, Rajajinagar 1st block, Bangalore-560010",560010, Financial Services
"South Indian Bank, Bangalore Corporate 
"," #23/1, Baba Chambers, Richmond Road
Bangalore
080-22221040",560025, Banks
"HR One Management Consultants Pvt. Ltd. 
"," # 106/32, 12th Cross, 10th Main, 
Malleswaram, Bangalore 560 003",560003, Placement / HR / Training Consultants
"lomastechnicut india pvt ltd 
"," #19,first cross, brindavan layout, 
horamavu,bangalore",560043, Capital Goods /Machine Manufacturing
"Ambiant Associates 
"," 4/19,30th main Banashankri 3rd stage 
Bangalore85",560085, Architectural Services/ Interior Designing
"Ramsun Rasayanics 
"," #73, 3RD MAIN, KALYAN NAGAR, NAGARBHAVI MAIN ROAD, BANGALORE-560072",560072, Chemical
"dell 
"," egl,domlur",560003, IT- Hardware
"Dreamcraft Events & Entertainment 
"," No.3, 6th cross, near Vijaya Bank,Victoria Layout, 
Bangalore - 560047",560047, Advertising/Event Mgmt/ PR/MR
"POET Consultants Pvt. Ltd. 
"," Basaveshwaranagar, ",560079, Engineering
"C Bell Consultants 
"," Address: C Bell Consultants Pvt Ltd
#1162/B, ""Anugraha"", 1st floor, 23rd main, 
Banashankari 2nd stage, 
Bengaluru-560070. ",560070, Accounting/Consulting/ Taxation
"Hollywood Evolved Research Oriented Animations Academy ( HERO Animations Academy) 
"," #65 29-C Cross, 10th Main, Jayanagar 4th Block",560011, Institutes - Schools/Colleges
"Webilook.com 
"," #1 Hongsandra,bangaloe 68",560068, IT-Software Services
"ETiP Productions 
"," Chikkasandara, Bangalore.",560073, Media / Entertainment
"Jobslots Technologies Pvt Ltd 
"," Jobslots Technologies Pvt. Ltd.
                     #81-A, Roshpa Tower Ground Floor,
Main Road, Ranchi Jharkhand-834001.India
                             Mobile: +91-9905319188
",834001, IT-Software Services
"Vijitec Services 
"," #1/3, Ist cross, mathikere, bangalore,
Karnataka",560054, Accounting/Consulting/ Taxation
"FLOREL INDIA 
"," 34 Lakeside, T.Dasarahalli, Bangalore 560057",560057, Construction / Real  Estate
"GREEN APPLE CABS 
"," #1466, 1ST FLOOR, 5TH MAIN, 17TH CROSS, 7TH SECTOR, HSR LAYOUT, BANGALORE - 560102",560102, Travel / Tourism
"Step up Technologies Private Limited 
"," Step-Up Technologies Private Limited,
1st Floor, Kale Gowda Complex,
Near Kottige Palya Bus-stop, Magadi Main Road,
Bangalore - 560091, Karnataka, India",560091, IT-Software Services
"Tech CogniZous India Pvt LTd 
"," #504, 2nd Floor, 6th Cross, 6th Block, 
Koramangala, Bangalore, Karnataka",560095, IT- Telecom /Mobile
"panchamukhi finance  
"," kodigehalli main road, vidyaraniyapura bangalore 97",560097, Financial Services
"Basavaraj & Associates 
"," 480, 10th G Main, 6th Block, Rajajinagar,Bangalore -560010",560010, Accounting/Consulting/ Taxation
"Essemce Automation Engineers (I) Private Limited 
"," # 154, 4th Cross, Muneshwara Nagar, Ullal Main 
Road, Nr.Railway Layout,",560056, Electrical/Electronics
"magajiorchid 
"," No, 3 Nagappa Street Sheshadripuram

Bangalore, 560020",560020, Hotels / Resorts
"Research Aquarium Analytics Services Pvt. Ltd. 
"," #16, 3rd floor, 10th cross, Sampige Road , 
Malleswaram, Bangalore",560003, Financial Services
"Bangalore Scrap Mart Inc 
"," 47/1, 4th Main Chinnappa Garden Benson Town Post Bnaglore",560046, FMCG
"U4E software solutions pvt.Lm 
"," #36,3rd cross KR vijaya layout,
opp to Mahaveer chalet apartment,Basavanapura 
main road Bhattarhalli
bangalore-560049",560049, Electrical/Electronics
"JIrawala Metals 
"," No 35,m.b.t Street,nagarthpet cross, bangalore",5600002, Iron and Steel
"Multistar Realtors 
"," #150/9 , Kormangala 8th Block 1st B Main road",560095, Real Estate Agents
"Taj Transport. 
"," A-10 J K WAREHOUSING COMPLEX, OPP. Digvijay 
HOUSING SOCIETY , NEAR KOPER BUSSTOP, KOPER, 
KALHER, BHIWANDI. 07498952705, 
07498967081,09527869426",421302, Courier/ Logistics/ Packaging/ Transportation
"Meltronics Systemtech Pvt Ltd 
"," AECS Layout, Bangalore",560037, IT- Embedded/EDA/VLSI
"landhouseindia 
", 405 vijayanagar bangalore,560040, Real Estate Agents
"icfai university  
"," no 23 3rd florr Vasavi Plaza 11th main 4th Block 
Jyanagar Bangalore-560011  Near Cool Joint ",560011, Institutes - Others/ Universities
"Streamsource Services 
"," Stream Source Services
#18, First Floor,5th E Cross 1st Block 
Akshayanagar
Dooravaninagar Post
KR puram 
Bangalore-560016",560016, Accounting/Consulting/ Taxation
"Welcome Nepal Treks & Tours  
", Thamel Kathmandu Nepal,00977, Media / Entertainment
"Cadd centre India Pvt ltd 
"," cadd centre
Rajajinagar 3rd block
Near esi signal
Bangalore",560010, Office Automation
"IULE 
"," M R complex, 2nd Floor, 5th Main, Malleshpalya, 
New Thippasandra PO, Bangalore",560075, Institutes - Others/ Universities
"Vinakaya Consultants 
"," F45 Nanjappa circle ,bangalore ",560097, Food Processing/ Beverages
"fire rated rolling shutters India 
", 20/A B Cross JP Nagar 1st Phase ,560078, Construction / Real  Estate
"Amagi Media labs pvt. ltd 
"," amagi media labs pvt. ltd.
690, 15th Cross, II Phase, J.P Nagar
Bangalore , India - 560 078",560078, Advertising/Event Mgmt/ PR/MR
"H P Logistics 
"," No.167/4, 16th Main, 4th Block, 
Jayanagar, Opp. B.E.S. College,
Bangalroe-560011.
",560011, Courier/ Logistics/ Packaging/ Transportation
"S.K.S transport 
"," 48/2, sks masjid compound, hosur main road, 
kudlu gate",560068, Courier/ Logistics/ Packaging/ Transportation
"SKS tours & travels 
"," 48/2,sks masjid compound, hosur main road, 
kudlu gate",560068, Travel / Tourism
"REMAX BANGALORE 
"," Richmond Town , Bangalore",560025, Real Estate Agents
"ExcelCorp India Pvt Ltd. 
"," #200/3 Laxmi Complex, R V road, Basavanagudi, 
Near bangalore Hospital, South end circle, 
Bangalore - 04",5600004, Placement / HR / Training Consultants
"Agrolamina 
", Bangalore,560004, Agriculture/Dairy/Fertlizer
"optimistic soft 
"," mb and mb complex, subhashnagar,Virgonagar 
post,Near karnataka medical T c Pallya",560049, IT-Software Services
"Cirqtech tako technologies 
"," #73 A, Electronics City,
Hosur Road, Bengaluru- 560100",560082, Electrical/Electronics
"BSB, Bangalore School of Business 
", Bangalore,560068, Institutes - Management
"Locohire Technologies 
"," No. 10, Dinnur Main Road
RT Nagar",560032, IT-Software Services
"Renderindia Infotech Bangalore 
"," 110 , 5th Cross, Kundanhalli Colony, ITPL Main 
Road, Kundalahalli",560037, IT- e-commerce/Internet
"Essence Automation Engineers (I) Private Limited 
"," # 154, 4th Cross, Muneshwaranagar, Ullala Main Road, Nr.Railway Layout,",560056, Electrical/Electronics
"Arihant Polymers 
"," No:14, 6th main Padarayanapura west
Vijaynagar pipe line road
bangalore-560028",560028, Rubber/Plastic/ Glass/ Wood
"INDIA PAPER PRODUCTS  
"," 4506, High Point - IV, 45 Palace Road, Bangalore",560001, Paper/Publishing/ Printing/ Stationary
"Soundhorn Marketing&Communications 
"," 20,4th Main,Sripuram, Sheshadripuram
Bangalore, Karnataka",560020, Advertising/Event Mgmt/ PR/MR
"sagar packaging 
"," #84,G.M.COMPLEX,MANVARTHIPET, NEAR SULTANPET,BANGALORE",560053, Consumer Goods - Durables/Home Appliances
"Maxpindia 
"," hebbal,bangalore",560092, Metals/Mining
"PROCON ADVISORY SERVICES I PVT LTD 
"," 7/1 Dr. Ommer Sheriff ROad, Basavanagudi 
bangalore-560004",560004, Financial Services
"Anthem BioSciences 
"," Bommasandra Industrial Area, Bangalore",560099, Pharmaceuticals/ BioTech/ Research
"Impel CRM 
"," PK4 Software Technologies Pvt Ltd, #37, Kempapura, Hebbal, Bangalore 560024, INDIA",560024, IT-Software Services
"AADITA TECH SYSYEMS PVT LTD 
"," #1, 13 A cross, 1st Phase JP Nagar, Sarakki, Kankakpura Main, Bnagalore-78",560078, Placement / HR / Training Consultants
"Lingua Firm Language Translators  
"," LinguaFirm India, MalleshPalya 5th Main, MR 
Complex Bangalore 560075",560075, Placement / HR / Training Consultants
"Funding Solutionz 
"," No:1278, III Floor, 25th Main, Jayanagar 9th Block, Bangalore ",560069, Financial Services
"Service Master Clean Ltd. 
"," #SP 10, 2nd Floor, NGEF Anxillary 
Indl. Estate, Mahadevapura, 
Bangalore - 560040",560001, Hospitals/Healthcare
"BLS Software Private Ltd 
"," 12,RR Heights,N S Palya Industrial 
Area,Bannerghatta Road, Next to Shoppers Stop",560076, IT-Software Services
"ABNER 
"," Sireesh Gowda Complex, No.1, First Floor, First Main, New Kavalbyrasandra Extension, R. T. Nagar, Bangalore - 560032.",560032, Placement / HR / Training Consultants
"EDU WORK CONSULTING 
"," no.515,10th cross,padmanabhanagar,bsk ii 
stage,BANGALORE-560070",560070, Placement / HR / Training Consultants
"Pro Green Digitals 
"," No. 2, 1st cross, vidyaranyapura main road, 
dodda bommasandra, Bangalore - 560097. ",560097, Electrical/Electronics
"IADFAC Laboratories Pvt Ltd 
"," #8 Siddhi Vinayak Comlex
80ft Ring Road
2nd Stage 2Nd Block Nagarbhavi
Bangalore-560072
Land Mark: Near to BDA Complex Nagarbhavi",560072, Chemical
"INDIANMONEY.COM 
"," Suvision Holdings Private Limited
No 73, chetna colony, Shirur Park,
Near Oxford Polytechinic College, Vidyanagar, 
Hubli, India -  580021
Direct No - 08792007347
Associate Care - 080 - 64554040
",580020, Financial Services
"Scorpion Security Limited (Security Agency) 
"," Bangalore Palace Compound
Vasanth Nagar, Bangalore 560052
Near Mount Carmel College / Cantt railway station",560052, Security
"Stabicon Life Sciences Pvt Ltd 
"," 3BM-416 3rd Main Road,HRBR Extension,Bangalore43",560043, Pharmaceuticals/ BioTech/ Research
"YELUKOTI CONSULTING CO., 
", BANGALORE,560010, Financial Services
"Career Edge Technologies 
", Bangalore,560010, Placement / HR / Training Consultants
"Gamineazy Entertainment Pvt Ltd 
"," Gamineazy Entertainment Pvt Ltd,
Apt C-217, Ittina Abha Apartments,
104/3A, Munekollala Road, Marathahalli,
Bangalore 560037",560076, Media / Entertainment
"Peak XV Networks Pvt Ltd 
"," # 511, 3rd Floor, Westminster,
Cunningham Road,
Bangalore- 560052
",560052, IT- Network Admin./Security
"way 2 journey 
"," #88 k.k centre 5th block industrial area
koramangala",560095, Travel / Tourism
"KERALA CARGO MOVERS 
", C124 DDUTTL INDUSTRIAL SUBURB YESWANTPUR BANGALORE 22,560022, Courier/ Logistics/ Packaging/ Transportation
"Bossman Instruments Technology 
"," G / 8(A),Swastik Manandi Arcade,
S.C.Road, Seshadripuram
",560020, Capital Goods /Machine Manufacturing
"sudarshan lables 
"," #769,3rd cross , 5th main, vijayanagar, banlgore 
040",560040, Garment / Textiles/ Accessories
"Zodiac Service 
"," #3,7th cross yeshwnathpur, Bangalore",560022, Electrical/Electronics
"GREENER ECO 
"," Platinum paramount apts, Jalahalli Village Main 
Road, Jalahalli Village, Nr. Mutyalamma Temple,",560013, Advertising/Event Mgmt/ PR/MR
"KHAADI VAMSH 
"," No.8, Venkataswamappa layout, Temple Road, 
Vidyaranyapura, Nr. Nanjappa circle, Opp. Road 
of Dwaraka Conventional Hall,",560097, Garment / Textiles/ Accessories
"V4 Technologies 
"," V4 Technologies 
No. 438, 2nd floor, "" KRUPA ARCADE"", 
6th Main, 17th cross, 2nd stage, 
Rajajinagar, Malleswaram P.O., Bangalore - 55",560055, Placement / HR / Training Consultants
"CVN CHITS FUND PRIVATE LIMITED 
"," No 9, 1st FLoor, S.C Road, Yeshwanthpur Circle, 
Yeshwanthpur, Bangalore 560 022",560022, Financial Services
"Zylog Systems Ltd 
"," Zylog Systems Ltd
431, 2nd floor, 8th Main 
4th block, Koramangala 
Bangalore, India 560034",560034, IT-Software Services
"POWERINDIAJOBS 
", J P Nagar BangaLORE ,560078, Placement / HR / Training Consultants
"AVK Valves India Pvt Ltd 
"," 179, KIADB Industrial Area, 3rd Phase, Malur",563130, Capital Goods /Machine Manufacturing
"Cyber Craft Technologies  
"," 17th A Cross, 9th Main, Indiranagar
Bengaluru
Karnataka
560038",560038, IT-Software Services
"METIS ERC India Pvt Ltd 
"," 1285, 17th cross, 5th Main, HSR Sector 6, 
Bangalore 560102",560102, Placement / HR / Training Consultants
"Turan Holidays 
"," G-6, Business Point, Near Brigade Towers, Brigade 
Road, Bangalore",560001, Travel / Tourism
"IDI INFOTECH 
"," No:305, 2nd floor, Harinagar, TCH college Road, Bangalore",560062, IT-Software Services
"techtran electronics (India) pvt ltd 
"," #463,amarjoythi layout , 7th main, west wing, 
dumlur, bangalore",560070, Engineering
"V4 Technologies 
"," Krupa Arcade, No. 438, 2nd floor, 
6th Main, 17th cross, 2nd stage, 
Rajajinagar, Bangalore - 560055 
",560055, Placement / HR / Training Consultants
"LG Engineerings 
"," #7, Gowaramma complex, anekul main road,
chandapura,bangalore",560 081, Construction / Real  Estate
"Corporate Colors 
"," #556,F-Block,Sahakarnagar,Bangalore - 560092",560092, Garment / Textiles/ Accessories
"Hot Beanz 
"," #502, 1st cross, Nanjappa Reddy Layout,
Kormangala 8th Block,Bangalore -560095",560095, Food Processing/ Beverages
"Newbridge Business Centres Pvt. Ltd. 
"," 777D 100 Feet Road -Indiranagar
Bangalore - 560 038 
Ph : (91)(80) 41261861
Fax : 080 - 41525481",560038, Real Estate Agents
"asta v foundations 
"," no 5,19 th cross, s r nagar bangalore",560027, Construction / Real  Estate
"Bangalore MART Inc. 
"," 47/1, 4th Main Chinnappa Garden Benson Town Post Bangalore",560046, Electrical/Electronics
"ZILLIONYOOF CONSULTANCY SERVICES PVT. LTD 
"," #149,2nd Floor, 2nd H Main, East of NGEF Layout, 
kasturi Nagar
Bangalore, Karnataka, India PIN CODE: 560043
",560043, Placement / HR / Training Consultants
"Kashyap International 
"," 1380, 3rd Floor, South End Main Road, 9th Block, 
East End Circle. Jayanagar, Bangalore, 
Karnataka, India, Pincode 560069.",560069, Airlines/Aviation
"Neo Events  
"," Neo Events,193/52, 3rd Cross, HMT Layout, Mathikere Bengaluru, Karnataka 560054 ",560054, Advertising/Event Mgmt/ PR/MR
"Slim & Trot 
"," 168,1st Floor,
36th A Cross,
Jayanagar 7th Block ,
Bengaluru",560082, Management /Engineering /Environ. Consultants
"sahara waterproofing co 
"," #3 2nd cross ragiv ghandi nagar 7th sector hsr 
layout ",560102, Construction / Real  Estate
"Innovative Engineers 
"," No:-111/42, 2nd Main, 
Rajajinagar Industrial Town, 
Bangalore -560044 KARNATAKA - INDIA
",560044, Capital Goods /Machine Manufacturing
"Pathfocus Technologies 
", Malleshwaram.,560054, IT- ERP/CRM
"A city services 
","  1256, 9th c cross, 4th block, 1st stage, outer ring 
road, HBR layout, Bangalore 560043. 
",560043, Management /Engineering /Environ. Consultants
"R M METAL INDUSTRIES 
"," Shopno.6, 154, Kawa Compound, 6th Kumbharwada lane, 1st Floor, Mumbai .",400004, Metals/Mining
"New Star Biryani Point 
"," No. 19, Ramamurthy Nagar Main Road, Dodda Banaswadi. Bangalore - 560043",560043, Food Processing/ Beverages
"Iwaves Solutions 
"," #67/8, South Avenue complex, Near nagasandra 
circle, Basavanagudi Bangalore-04",560004, Placement / HR / Training Consultants
"D N Enterprisess 
"," #21,15th main Munireddy Ind. layout, Mangammapalya, Bommanahalli, off Hosur road,bangalore 560068",560068, Engineering
"Simple Solutions 
"," No.1/1,Middle School Cross Road,V. V. Puram,Bangalore-560004",560004, Accounting/Consulting/ Taxation
"credativ software(I)pvt.ltd. 
"," No.158,9th Main Road, 6th Sector, HSR Layout.
Banglore-560 102, India
 info@credativ.in",560102, IT- ERP/CRM
"HR EDIFY SOLUTIONS 
"," No. 25, D M Chambers, BEML 3rd Stage, Rajarajeshwari Nagar, Bangalore",560098, Law / Legal Consultants
"Equinox e Services 
", BTM Layout,560076, Placement / HR / Training Consultants
"Laxee Marketing PVT Ltd 
", DOMLUR,560071, Retail
"Place & Space 
", Bangalore,560001, Real Estate Agents
"PAYANA 
"," ""PAYANA""
North Kanara Tourism Development Organization(R),
T.S.S Road,Sirsi
North Kanara, Karnataka,
m- (0) 9886769539
",581402, NGOs/World Bodies/ Associations
"A P PACKERS AND MOVERS 9900000281 
"," #16,5th cross,hsr layout 7th sector,near BDA Complex, Bangalore",560068, Shipping / Marine
"VMC Technologies 
"," Whitefield, Bangalore",560066, IT- ERP/CRM
"HOME SWEET HOME 
", 4th cross 4th main ,560085, Garment / Textiles/ Accessories
"Glass Rolling Shutters 
", 468/A Ground Floor 1st Main 2nd B Cross JP Nagar Ring Road Karnataka Bangalore India,560078, Construction / Real  Estate
"NEW MATTER SOLUTIONS 
"," No.8, 2nd Floor, Whitefield Main Road,Siddapura,Bangalore-66",560066, Real Estate Agents
"TECKTORS 
"," #62, 2nd Cross 2nd Main, Vidyaraanyapura, 
Bangalore",560097, IT- ERP/CRM
"Trekking in Nepal 
"," Acute Trek Pvt. Ltd.
P.O.Box: 23044, Thamel, Kathmandu, Nepal
Phone: 00977-1-4422021 
Mobile: 00977-9841433205
info@trekshimalaya.com
http://www.trekshimalaya.com 
http://www.adventurestrekking.",009771442202, Travel / Tourism
"SISA Information Security 
", Indira Nagar Bangalore,560008, IT- Network Admin./Security
"Quality and Food Safety Consultants 
"," F-9, Meenakshi Residency, Arekere, Bannerghatta road",560076, Food Processing/ Beverages
"maaninternational 
", avenue road Bangalore-560002,560002, Electrical/Electronics
"JDN News Monitroing Services 
", #397 7th Main Viveknagar ,560047, Advertising/Event Mgmt/ PR/MR
"Shanthi Hospital and Research Centre (SHRC) 
"," 307, 40th Cross,
8th Block, Jayanagar,
Bangalore 560 082. ",560 082, Hospitals/Healthcare
"S three services 
"," C/o Enact Relaible services
#42/3,Ist floor,B&N complex,Kamanahally Main road,
St thomas town post,
Bangalore",5600084, Travel / Tourism
"e Centric 
"," #1/1, G.D Street, R.V Road, Lalbagh West Gate
Bangalore 560004, India.",560004, IT- ERP/CRM
"AarcH 
"," AarcH No 7, 1st Floor, Malagala Last Bus
stop, 8th Block Nagarabhavi 2nd Stage
Bangalore 560091",560091, Engineering
"management consultant 
"," Sri Benaka Nilaya, 1st Floor, No. 6/14,2nd Block, 4th Cross,Hosur Main Road, Madivala,Bangalore- 560 068 
",560068, Management /Engineering /Environ. Consultants
"Fever Pitch Holidays 
"," no 48,4th block.,7th main, nandini layout
bangalore",560021, Travel / Tourism
"Indian Myra Online Pvt Ltd 
"," 35/38 11th main Road,
Jayanagar 5th block,",560041, Retail
"Yuvesh Signages 
"," Near TVS. Show Room, B.D.O. Office Road, Thally, Denkanikotta (TK), Krishnagiri (DT)",635118, Paper/Publishing/ Printing/ Stationary
"VJCC CONSULTING PVT. LTD. 
"," 3RD FLOOR, PEARL NAKSHA,
161/1, 1ST MAIN ROAD,
SESHADRIPURAM",560020, Accounting/Consulting/ Taxation
"Precious Software Services 
", Bangalore,560026, IT-Software Services
"Dotline Web Media Pvt Ltd 
"," No: 344, 1st foor, 14th cross,
2nd block, Jayanagar
",560011, IT-Software Services
"selwyn 
"," #553, KR GArden, 8th Block, koramangla, 
Bangalore - 95",560095, Architectural Services/ Interior Designing
"Pioneer Associates 
"," # W/7, 5th Cross, Okalipuram, Bangalore 560021",560001, Construction / Real  Estate
"LIKHITHCREATIVELENS 
"," wilsongarden, bangalore",560030, IT- e-commerce/Internet
"Page3 Eventss 
"," sarjapur-marathalli ring road
bellandur",560103, Advertising/Event Mgmt/ PR/MR
"DECCAN VENTURES 
"," 12/4, chengaiah compound, krishnapa garden, bangalore",560041, Real Estate Agents
"TRAVEL OUTLET 
", matadahalli main road r.t.nagar,560032, Travel / Tourism
"Zeebeetronics 
"," 27, Krishna Reddy Colony
Domlur Layout
Bangalore",560071, Electrical/Electronics
"Indian scrap traders 
"," no 1 bhuvaneshvarinagar rt nagar post bangalore 
560032",560032, Electrical/Electronics
"Space Info ID Visions 
"," Gayathri Nagar, Bangalore",560021, Security
"Ulgens Consulting 
"," WORLD TRADE CENTER - ANKARA
Tahran Street No:30
Kavaklidere 06700, Cankaya/Ankara, TURKEY
Office: 208 ",03124688758 , Metals/Mining
"Ossakinfotech 
"," Head Office and Delivery Center
#22, 6th Cross, 
16th Main, BTM 2nd Stage,
Bangalore-560079, Karnataka . 
Phone:             +91 9916 0047 07       ",1215, IT-Software Services
"webtutors 
"," #15,Marathalli,
Bangalore",560037, Placement / HR / Training Consultants
"Multistr REALTORS 
"," no 4, stephens road frazer town",560005, Construction / Real  Estate
"Morpheus Human Consulting 
"," 29/2, Race Course Road, Bangalore",560001, Placement / HR / Training Consultants
"Genotypic technology 
"," Genotypic Technology Private Limited #2/13, Balaji Complex, 80 Feet Road, 
R.M.V. Second Stage, Bangalore-560094 Phone: +91 80 40538200, +91 80 40538300, 
Fax: +91 80 40538222",560094, Pharmaceuticals/ BioTech/ Research
"uniquesearch print media 
"," #547/3,2nd floor,r v road,basavanagudi,bangalore-560004",560004, Advertising/Event Mgmt/ PR/MR
"delightcafe 
"," no#35 2nd main anandnagar rt nagar
Bangalore32",560072, Food Processing/ Beverages
